"HDI Rank","Country","2010-2017",""
"4"," Germany","5.1","a"
"142"," Ghana","10.3","a"
"32"," Greece","7.1","a"
"126"," Guatemala","11.9","a"
"174"," Guinea","5.5","a"
"178"," Guinea-Bissau","12.6","a"
"169"," Haiti","8.6","a"
"132"," Honduras","17.1","a"
"43"," Hungary","4.9","a"
"6"," Iceland","4.0","a"
"129"," India","5.5","a"
"111"," Indonesia","6.6","a"
"65"," Iran (Islamic Republic of)","7.7","a"
"120"," Iraq","4.4","a"
"3"," Ireland","5.0","a"
"22"," Israel","8.5","a"
"29"," Italy","7.0","a"
"19"," Japan","5.4","a,b"
"102"," Jordan","5.2","a"
"50"," Kazakhstan","3.8","a"
"147"," Kenya","7.7","a"
"22"," Korea (Republic of)","5.3","a"
"122"," Kyrgyzstan","3.8","a"
"140"," Lao People's Democratic Republic","5.9","a"
"39"," Latvia","5.8","a"
"93"," Lebanon","5.1","a"
"164"," Lesotho","20.8","a"
"176"," Liberia","5.9","a"
"34"," Lithuania","7.2","a"
"21"," Luxembourg","5.7","a"
"162"," Madagascar","8.7","a"
"172"," Malawi","8.1","a"
"61"," Malaysia","8.2","a"
"104"," Maldives","7.0","a,c"
"184"," Mali","5.2","a,c"
"28"," Malta","4.5","a"
"161"," Mauritania","5.4","a"
"66"," Mauritius","5.9","a"
"76"," Mexico","8.8","a"
"135"," Micronesia (Federated States of)","8.4","a"
"107"," Moldova (Republic of)","3.6","a"
"92"," Mongolia","5.1","a"
"52"," Montenegro","4.8","a"
"121"," Morocco","7.0","a"
"180"," Mozambique","14.2","a"
"145"," Myanmar","6.3","a"
"130"," Namibia","22.8","a"
"147"," Nepal","5.0","a"
"10"," Netherlands","4.2","a"
"126"," Nicaragua","10.2","a"
"189"," Niger","5.4","a"
"158"," Nigeria","9.1","a,c"
"82"," North Macedonia","7.3","a"
"1"," Norway","4.1","a"
"152"," Pakistan","4.8","a"
"119"," Palestine, State of","5.6","a"
"67"," Panama","15.9","a"
"155"," Papua New Guinea","9.3","a,c"
"98"," Paraguay","11.7","a"
"82"," Peru","10.3","a"
"106"," Philippines","7.2","a"
"32"," Poland","4.6","a"
"40"," Portugal","6.4","a"
"52"," Romania","8.0","a"
"49"," Russian Federation","6.6","a"
"157"," Rwanda","8.5","a"
"89"," Saint Lucia","17.9","a"
"111"," Samoa","6.8","a"
"137"," Sao Tome and Principe","4.7","a"
"166"," Senegal","7.7","a"
"63"," Serbia","4.2","a"
"62"," Seychelles","9.8","a"
"181"," Sierra Leone","5.4","a"
"36"," Slovakia","4.1","a"
"24"," Slovenia","3.7","a"
"153"," Solomon Islands","6.4","a"
"113"," South Africa","28.4","a"
"186"," South Sudan","13.0","a,c"
"25"," Spain","7.3","a"
"71"," Sri Lanka","6.8","a"
"168"," Sudan","6.2","a,c"
"8"," Sweden","4.6","a"
"2"," Switzerland","5.2","a"
"125"," Tajikistan","5.6","a"
"159"," Tanzania (United Republic of)","6.2","a"
"77"," Thailand","6.0","a"
"131"," Timor-Leste","4.1","a"
"167"," Togo","9.7","a"
"105"," Tonga","6.7","a"
"91"," Tunisia","5.2","a"
"59"," Turkey","8.5","a"
".."," Tuvalu","7.0","a"
"159"," Uganda","8.2","a"
"88"," Ukraine","3.5","a"
"15"," United Kingdom","5.4","a"
"15"," United States","9.4","a"
"57"," Uruguay","7.8","a"
"141"," Vanuatu","6.7","a"
"118"," Viet Nam","6.2","a"
"177"," Yemen","6.1","a"
"143"," Zambia","21.1","a"
"150"," Zimbabwe","8.6","a"
"170"," Afghanistan","..",""
"36"," Andorra","..",""
"35"," United Arab Emirates","..",""
"74"," Antigua and Barbuda","..",""
"87"," Azerbaijan","..",""
"45"," Bahrain","..",""
"60"," Bahamas","..",""
"103"," Belize","..",""
"56"," Barbados","..",""
"43"," Brunei Darussalam","..",""
"72"," Cuba","..",""
"98"," Dominica","..",""
"182"," Eritrea","..",""
"144"," Equatorial Guinea","..",""
"78"," Grenada","..",""
"123"," Guyana","..",""
"4"," Hong Kong, China (SAR)","..",""
"96"," Jamaica","..",""
"146"," Cambodia","..",""
"132"," Kiribati","..",""
"73"," Saint Kitts and Nevis","..",""
"57"," Kuwait","..",""
"110"," Libya","..",""
"18"," Liechtenstein","..",""
"117"," Marshall Islands","..",""
"14"," New Zealand","..",""
"47"," Oman","..",""
"55"," Palau","..",""
"41"," Qatar","..",""
"36"," Saudi Arabia","..",""
"9"," Singapore","..",""
"98"," Suriname","..",""
"154"," Syrian Arab Republic","..",""
"108"," Turkmenistan","..",""
"63"," Trinidad and Tobago","..",""
"108"," Uzbekistan","..",""
"94"," Saint Vincent and the Grenadines","..",""
"96"," Venezuela (Bolivarian Republic of)","..",""
"","Human Development"," ",""
" ","Very high human development","..",""
" ","High human development","..",""
" ","Medium human development","..",""
" ","Low human development","..",""
" ","Developing Countries","..",""
"","Regions"," ",""
" ","Arab States","..",""
" ","East Asia and the Pacific","..",""
" ","Europe and Central Asia","..",""
" ","Latin America and the Caribbean","..",""
" ","South Asia","..",""
" ","Sub-Saharan Africa","..",""
" ","Least Developed Countries","..",""
" ","Small Island Developing States","..",""
" ","Organization for Economic Co-operation and Development","..",""
" ","World","..",""
"a: Data refer to the most recent year available during the period specified."
"b: Refers to 2008."
"c: Refers to 2009."
""
